Experiment,Condition,ParticipantID,InputMajNumOnly,InputMajAdjOnly,InputMajTwoMod,OutputMajNumOnly,OutputMajAdjOnly,OutputMajTwoMod,CommentsChoice,LanguagesSpoken,Timestamp
ISO,Morphology,MI14,0.7,0.8,0.8,0.8,0.8,0.8,"I think that 'kogla' and 'kospu' are synonyms, and 'nezno' and 'nefri' are synonyms, so I initially tried to use them all with the same frequency. But 'kogla' and 'nefri' were more memorable and I ended up preferring them - especially 'kogla nefri' as a single phrase.",English,2016/07/07 4:56:26 pm CET
ISO,Morphology,MI18,0.7,0.7,1,0.8,0.9,1,blue was kogla/kospu and double was nefri/nezno both used with each other respectively.,"English, Marathi, Hindi, German",2016/07/08 3:03:29 pm CET
ISO,Morphology,MI19,0.8,0.7,0.8,0.9,0.8,0.9,Basically I choose the ones I could easily remember.,English,2016/07/11 11:06:26 am CET
ISO,Morphology,MI20,0.6,0.5,0.5,0.7,0.6,0.5,mokte was the one lying on the ground and open from top whereas for Jelpa it was thought to be in the air with top close,"English, Hindi",2016/07/12 11:12:42 am CET
ISO,Morphology,MI21,0.7,0.8,0.6,0.7,0.9,0.8,"It was mostly due to the first time I heard each form used for the colour or the number of objects, it created an association that this is the primary terminology.","English, Croatian",2016/07/13 3:02:19 pm CET
ISO,Morphology,MI22,0.8,0.5,0.9,0.9,0.2,0.7,"I alternated between 'kogla' and 'kospu' in no particular order, since I deduced they meant the same thing. ",English,2016/07/14 1:05:07 pm CET
ISO,Morphology,MI23,0.6,0.6,0.3,0.9,1,0.9,"nefri and kogla were more memorable, so I used them more frequently. occasionally the same image was shown several times in quick succession, so i used nezno instead. Kospu was less memorable to me during the training, so I did not use it.",english,2016/07/14 2:05:49 pm CET
ISO,Morphology,MI24,0.6,0.7,0.7,0.8,0.8,0.7,"I decided based on the frequency of the use of colour ,number combinations","English, Swedish",2016/07/14 2:35:58 pm CET
ISO,Morphology,MI25,1,1,1,0.5,1,1,I used kogla to describe whether the objects were coloured blue or not,English ,2016/07/14 3:05:48 pm CET
ISO,Morphology,MI26,0.5,0.7,0.9,0.6,0.7,0.8,blue - kospu or kogla. grey - nefri or neon,English,2016/09/19 4:45:55 pm CET
ISO,WordOrder,1WI21,0.4,0.5,0.8,1,1,1,It was easier to remember the language when I put the object first,English,2016/06/28 10:01:57 am CET
ISO,WordOrder,1WI15,0.5,0.5,0.3,0,0,0,"I did it according to English language trad structure; number, colour object. ",English ,2016/06/28 4:06:11 pm CET
ISO,WordOrder,1WI18,0.5,0.5,0.4,0.5,0.5,0.3,"I tried to make the world order random, as I couldn't really see a pattern in Glerma's use.",English,2016/06/28 5:07:36 pm CET
ISO,WordOrder,1WI10,0.5,0.8,0.5,0.3,0.6,0.5,"I'm not really sure, I feel like it was quite spontaneous; whatever feature I recognised first, or which word I remembered first. Maybe the name of the object was what came first most often.","English, Serbian, Italian",2016/06/29 11:03:43 am CET
ISO,WordOrder,1WI01,0.5,0.5,0.3,0.8,0.8,0.8,I determined that there was no difference in the pictures for the different word order so therefore I just used whichever combination that came to mind - usually I started with jelpa or mokte,English,2016/06/29 11:03:49 am CET
ISO,WordOrder,1WI08,0.6,0.5,0.7,0.7,0.5,0.3,It sounded better in my head to say 'nefri kogla' because I think its means two blue whatever?,english,2016/06/29 3:12:29 pm CET
ISO,WordOrder,1WI03,0.5,0.5,0.5,0,0,0,constantly used 'nefri' 'kogla' then 'mokte/jelpa' in this order. ,English,2016/06/29 3:38:29 pm CET
ISO,WordOrder,1WI04,0.7,0.7,0.6,1,1,1,"I used what seemed like the most common word order used by Glerma - noun, adjective, number.",English,2016/06/29 3:58:51 pm CET
ISO,WordOrder,1WI14,0.8,0.7,0.8,0,1,1,"object, colour, number of objects",english,2016/06/30 10:18:24 am CET
ISO,WordOrder,1WI05,0.5,0.5,0.9,0.5,0.5,0.1,"I normally used kogla and jefri after the object names (mokte and jelpa), but sometimes i used them before out of boredom","English, Tamil",2016/06/30 3:59:19 pm CET
ISO,WordOrder,1WI07,1,0,0.5,1,0,0.5,Trying to alternate with the word order changes (so 50% of each),English,2016/06/30 4:19:32 pm CET
ISO,WordOrder,1WI19,0.8,0.6,0.8,0.9,0.9,0.9,The order that allowed me to remember the words most accurately because it flowed best.,English,2016/07/01 11:10:19 am CET
ISO,WordOrder,1WI06,0.9,0.1,0.3,1,0,0.3,"In 2-word descriptions always had the nefri at the end and kolga at the begining. In 3-word descriptions, for jelpra had kolga at the beginning and nefri at the end. Mokte was always the last word. ",English,2016/07/01 12:38:24 pm CET
ISO,WordOrder,1WI11,0.4,0.3,0.9,0.1,0.9,0.9,"Object always comes first, then color and positioning. I assumed they could be rearranged in any order as they can be in other languages.",English and German,2016/07/01 1:58:04 pm CET
ISO,WordOrder,1WI12,0.6,0.5,0.7,0.9,0.6,0.9,"Started with the shapes name. Then The color if its blue. Lastly, the number which is nefri (meaning two). ","American English, Arabic, and basic spanish ",2016/07/01 5:10:15 pm CET
ISO,WordOrder,1WI20,0.3,0.8,0.5,0.4,0.5,0.3,"I tried to imitate the order Glerma used, but since it seemed that word order didn't matter sometimes I just used whatever word order sounded like it flowed the best when I said it out loud.",English,2016/07/04 12:07:22 pm CET
ISO,WordOrder,1WI16,0.5,0.6,0.7,0.6,0.3,0.3,It dependent on how well I remembered the other words ,"English, French and German",2016/07/04 12:15:32 pm CET
ISO,WordOrder,1WI13,0.5,0.5,0.2,0,0,0,I consistently used the descriptive words before the object,english,2016/07/06 1:08:27 pm CET
ISO,WordOrder,1WI09,0.5,0.6,0.7,0.5,1,1,The order in which I learned the words felt the most natural. I was confused why she kept switching things around and I didn't want that to hinder myself from creating sentences later on.,English,2016/07/07 11:01:07 am CET
ISO,WordOrder,1WI17,0.8,0.5,0.5,1,0.9,0.2,"I felt like when I was doing the task that the nefri seemed to be last more often so I put that last and I noticed kogla was usually before nefri or before the object. I noticed the order of the adjectives was switching, but I wasn't really sure of the pattern...I guess I may have created my own, where mainly the colour was before the object and the number after (if both were used), otherwise it was whichever way around I remembered it first when typing. ",English,2016/07/07 11:09:07 am CET
ISO,WordOrder,1WI21,0.7,0.3,0.6,0.2,0.1,0,what was easier to remember ,english ,2016/07/07 2:10:44 pm CET
ISO,WordOrder,1WI22,0.4,0.6,0.5,0.7,0.6,0.7,"it was random, just the first of the kogla or nefri to come to my head ",English,2016/07/11 11:04:23 am CET
ISO,WordOrder,1WI23,0.5,0.7,0.4,0.9,0.9,1,I tried to see if there was any particular word order rules and when I didn't find any I just stuck to noun-adjective-adjective (assuming numbers are adjectives!?!?),English,2016/07/12 10:45:19 am CET
ISO,WordOrder,1WI24,0.4,0.5,0.4,0.9,1,0.6,"Listed object, then amount, then adjective.",English,2016/07/14 2:16:56 pm CET
ISO,WordOrder,1WI25,0.2,0.6,0.2,0.3,0.4,0.8,"It was mostly random, I feel like I heavily leaned towards the usual English ordering of words. I would say nefri kogla mokte/jelpa was the most usual form I used.",English,2016/07/14 3:03:31 pm CET
ISO,WordOrder,1WI26,0.5,0.5,0.3,0,0,0,"number, colour, object",English ,2016/09/19 4:50:52 pm CET
ISO,NoL1WordOrder,2WI05,0.4,0.3,0.2,0.2,0.1,0.1,"Mainly colour, number then object but varied it depending on where my fingers were resting on the keyboard",English,2016/09/13 1:58:05 pm CET
ISO,NoL1WordOrder,2WI01,0.9,1,0.8,0.8,0.9,0.9,"if it was ""jelpa"" then the word order was important",1,2016/09/13 1:58:19 pm CET
ISO,NoL1WordOrder,2WI10,0.8,0.3,0.8,0.8,0.5,0.8,Spontaneous + whatever seemed to roll off easiest after the previous wording,English,2016/09/13 2:03:14 pm CET
ISO,NoL1WordOrder,2WI09,0.8,0.7,0.5,0.8,0.9,0.8,"At first I tried to find a solid pattern within the input, but then I couldn't find any obvious rules that always applied so later on I just stuck with one word order.","English, Mandarin",2016/09/13 2:03:47 pm CET
ISO,NoL1WordOrder,2WI06,0.8,0.7,0.6,1,1,0.9,"What ever order sounded best in my head, and was easiest to remember",English,2016/09/13 3:00:20 pm CET
ISO,NoL1WordOrder,2WI11,0.6,0.5,0.5,0.6,0.6,0.7,Generally changed word order to avoid repetition of previous answer,English,2016/09/13 3:03:15 pm CET
ISO,NoL1WordOrder,2WI12,0.7,0.5,0.6,1,1,0.4,OBJECT COLOUR AMOUNT ,ENGLISH,2016/09/13 3:06:47 pm CET
ISO,NoL1WordOrder,2WI03,0.7,0.8,0.6,1,1,0.2,"object, quantity, colour - almost always with the object first",English,2016/09/13 4:01:21 pm CET
ISO,NoL1WordOrder,2WI14,0.5,0.5,0.3,0.3,0.7,0.2,Number noun colour,English,2016/09/14 3:04:15 pm CET
ISO,NoL1WordOrder,2WI18,0.5,0.8,0.8,0.3,0.9,0.8,"Mostly it seemed to be repeating the order I'd heard, but sometimes just thinking about the descriptions and putting them as they came to me.",English,2016/09/14 5:00:33 pm CET
ISO,NoL1WordOrder,2WI19,0.8,0.7,0.9,0.8,0.2,0.5,what i remembered first,"english, german ",2016/09/14 5:02:38 pm CET
ISO,NoL1WordOrder,2WI17,0.3,0.3,0.6,1,1,1,"I used the object, colour and then quantity",English,2016/09/14 5:09:21 pm CET
ISO,NoL1WordOrder,2WI21,0.5,0.5,0.5,0.2,0.2,0.2,I did colour number then object (most of the time!),English ,2016/09/14 5:22:03 pm CET
ISO,NoL1WordOrder,2WI04,0.8,0.4,0.8,0.9,0.2,0.8,About 80% of the time I would put kogla infront of the object and nefri after the object but maybe 20% of the time I would put kogla nefri after the object for three word descriptions. I would never put nefri before the object for three word descriptions because Glerma didn't seem to use it. ,"English, Chinese, Malay",2016/09/15 2:21:33 pm CET
ISO,NoL1WordOrder,2WI20,0.4,0.5,0.6,0.5,0.5,0.7,In the order that I recognised the features ,English,2016/09/15 3:02:32 pm CET
ISO,NoL1WordOrder,2WI08,0.5,0.6,0.5,0.4,0.3,0.3,"Whichever came to me first, I tried to change it as that what she did so when the same object was repeated I don't think I always wrote it in the same order",English ,2016/09/15 3:07:14 pm CET
ISO,NoL1WordOrder,2WI16,0.5,0.3,0.7,0.4,0.3,0.3,I chose randomly,English,2016/09/15 5:05:05 pm CET
ISO,NoL1WordOrder,2WI22,0.5,0.6,0.7,0.6,0.6,0.7,"For the most part, I alternated between acceptable word orders to provide some variance. I actively avoiding responding with ""nefri"" anywhere but the end of the particle for 3-word structures because it was so uncommon during practice.","English, Uzbek",2016/09/15 5:08:02 pm CET
ISO,NoL1WordOrder,2WI07,0.5,0.8,0.8,0.8,0.7,0.8,"generally put the noun first, but sometimes switched it up",English,2016/09/15 5:09:39 pm CET
ISO,NoL1WordOrder,2WI02,0.7,0.6,0.4,0.9,0.6,0.4,I used mostly the same order from how glerma taught them to me and mixed up when I already used this order,"english, french, spanish, italian",2016/09/16 3:04:25 pm CET
ISO,NoL1WordOrder,2WI23,0.5,0.5,0.7,0.8,0.9,0.7,I just tried to remember how many word orders Glerma used and tried to use the same. I did't stick to one word order.,English and Hindustani,2016/09/16 4:11:12 pm CET
ISO,NoL1WordOrder,2WI13,0.8,0.7,0.7,0.9,1,1,"always noun first, and nefri last",English,2016/09/16 5:02:17 pm CET
ISO,NoL1WordOrder,2WI24,0.6,0.9,0.6,0.7,0.8,0.6,"I mostly used the order which was used most frequently by Glerma and in between the reverse order, for example if the same picture was shown successively I would use the reverse order for the second or fourth time.  ","English, Hindi, Marathi",2016/09/19 2:05:23 pm CET
ISO,NoL1WordOrder,2WI15,0.7,1,0.7,0.8,0.6,0.8,kogla before and tested out various orders,english/french,2016/09/19 3:04:07 pm CET
ISO,NoL1WordOrder,2WI25,0.9,1,0.8,1,1,1,consistently listed in the same order: 1) object 2) colour (if it was blue) 3) plural,English,2016/09/19 4:15:28 pm CET
ISO,NoL1WordOrder,2WI26,0.8,0.6,0.6,1,1,1,It was based on what I thought was the most common usage in Verblog.,English,2016/09/19 5:08:30 pm CET
DYAD,MorphologyDyads,DYM051,0.6,0.7,0.5,1,1,1,The first ones we learnt were the simplest so we stuck to those,English and Spanish,2016/11/17 10:42:05 am GMT
DYAD,MorphologyDyads,DYM052,0.7,1,1,1,1,1,I used kogla for blue colour and nefri for plural,English,2016/11/17 10:42:23 am GMT
DYAD,MorphologyDyads,DYM021,0.6,0.6,0.7,1,1,1,Easier to remember,English,2016/11/17 2:40:48 pm GMT
DYAD,MorphologyDyads,DYM041,0.8,0.8,0.8,0.9,0.5,0.8,It was random. ,English,2016/11/18 2:33:41 pm GMT
DYAD,MorphologyDyads,DYM042,0.5,0.5,0.5,0.9,0.1,1,"whichever one i could remember first, some would slip my mind momentarily or i'd forget what it sounded like so i'd just use the other one","english, bengali, some arabic",2016/11/18 2:33:49 pm GMT
DYAD,MorphologyDyads,DYM031,0.7,0.7,0.7,0.8,0.8,0.9,koala nefri were easier to remember,"English, Hindi",2016/11/21 11:46:25 am GMT
DYAD,MorphologyDyads,DYM032,0.6,0.7,0.7,0.8,0.8,0.7,the picture and description corresponded to them,"English, Hindi",2016/11/21 11:46:42 am GMT
DYAD,MorphologyDyads,DYM012,0.5,0.5,0.7,1,1,1,Nefri and Kogla were first to appear and thus easy to remember,English,2016/11/21 4:30:57 pm GMT
DYAD,MorphologyDyads,DYM011,0.6,0.6,0.5,1,1,1,"I chose the ones i remembered how to spell, and I couldn't really remember the other words",english,2016/11/21 4:32:39 pm GMT
DYAD,MorphologyDyads,DYM082,0.5,0.5,0.5,1,1,1,what stuck in memory more,english,2016/11/22 1:40:28 pm GMT
DYAD,MorphologyDyads,DYM081,0.6,0.7,0.6,0.9,0.9,0.9,`the forms that sounded better together or the ones that came to mind most easily ,`english,2016/11/25 10:43:57 am GMT
DYAD,MorphologyDyads,DYM061,0.5,0.3,0.2,0.1,0.1,0.2,Pick one word - nezno and kelpa/o - and re-use it ,English,2016/11/25 12:46:50 pm GMT
DYAD,MorphologyDyads,DYM062,0.5,0.5,0.5,0.1,0.2,0.1,I associated the words with other words I knew,English,2016/11/25 12:48:16 pm GMT
DYAD,MorphologyDyads,DYM072,0.5,0.5,0.5,0.2,0.1,0.5,"Unsure of the difference between kogla and kospu, I used kospu more as it was what I could remember. ",English,2016/11/28 4:49:33 pm GMT
DYAD,MorphologyDyads,DYM071,0.5,0.4,0.5,0.6,0,0,"I used Kospu over Kogla because I remembered it first then just stuck to using it, eventually forgetting Kogla almost completely. Nefri and Nezno I used fairly interchangeably.",English,2016/11/28 4:50:01 pm GMT
DYAD,MorphologyDyads,DYM092,0.6,0.6,0.3,0.8,0.8,0.3,"Frustratingly for myself, I didn't have a system; I generally used whatever came to mind, but if we got stuck using a particular word for too long I was inclined to switch it.",English,2016/12/01 12:40:13 pm GMT
DYAD,MorphologyDyads,DYM091,0.7,0.5,0.3,0.6,0.4,0.5,"I found nefri easier to remember than nezno so I think I used it more frequently, and likewise with kogla.",English,2016/12/01 12:40:16 pm GMT
DYAD,MorphologyDyads,DYM102,0.8,0.6,0.9,0.7,0.9,0.1,I chose the forms I remembered the most or the ones that my partner used more frequently. Sometimes I would get the endings of the words mixed up so I would end kogla with and 'i' and nefri with an 'a'. Sometimes I couldn't remember either and would make up a word that started with a k(to describe colour) or an n(to describe number).,English,2016/12/02 12:58:26 pm GMT
DYAD,MorphologyDyads,DYM101,0.5,0.5,0.5,0.8,0.9,0.9,"kogla was easier to associate with the objects and so i used it most often, however i did know that kospu want the same thing and so tried to use that sometimes just for a difference. I associated nefri more with kogla and so automatically used that more. I made a mistake with neon on the test once and so remembered it well and tried to use that sometimes.",English; Tamil,2016/12/02 12:59:08 pm GMT
DYAD,MorphologyDyads,DYM121,0.5,0.6,0.8,0.7,0.6,0.7,the sounds that seemed more familiar - nefri rather than nezno,English,2016/12/02 1:41:40 pm GMT
DYAD,MorphologyDyads,DYM122,0.4,0.6,0.5,0.5,0.6,0.5,"Sometimes I'd depart from what I'd heard most recently, so that I wouldn't forget either of the words. I think as time went on I just went with whatever I was used to hearing, maybe?","English; I am currently studying for an undergraduate degree in Russian, but I'm not fluent",2016/12/02 1:42:39 pm GMT
DYAD,MorphologyDyads,DYM111,0.5,0.4,0.5,0.9,0.1,0.1,I remembered `kospu' and 'nefri' more than the other terms and therefore those were the terms I used.,English,2016/12/06 3:37:48 pm GMT
DYAD,MorphologyDyads,DYM112,0.6,0.4,0.7,0.9,0,0,"We started by using kospu and stuck with that. I only used nezno once, but preferred nefri. ","English, Norwegian but can read and write Arabic and have studied Spanish",2016/12/06 3:38:02 pm GMT
DYAD,WordOrderDyads,DYWO042,0.5,0.5,0.3,0.3,0.5,0.6,nefri first normally,english ,2016/11/17 10:55:31 am GMT
DYAD,WordOrderDyads,DYWO041,0.8,0.8,0.9,0.7,0.5,0.2,"I first I look at the object, then the colour of the object, and then the number of objects",English and Spanish,2016/11/17 10:56:25 am GMT
DYAD,WordOrderDyads,DYWO032,1,1,1,0.9,1,1,I prefer to list the type of object first and then the number of it and then whether it is painted in blue or not,"Mandarin, hokkien ",2016/11/17 2:37:27 pm GMT
DYAD,WordOrderDyads,DYWO031,0.7,0.5,0.7,0.9,0.9,0.9,object first because their names are harder to remember,"English, Chinese, Malay",2016/11/17 2:38:43 pm GMT
DYAD,WordOrderDyads,DYWO011,1,0.5,0.5,1,0.5,0.5,I tried to copy what I remembered before. I usually put the object first and then either the colour or number after.,"English, Scottish Gaelic",2016/11/21 11:31:00 am GMT
DYAD,WordOrderDyads,DYWO012,0.2,0.5,0.6,0.1,0,1,"Shape first, followed by colour and pair in random order afterwards",English,2016/11/21 11:31:35 am GMT
DYAD,WordOrderDyads,DYWO052,0.4,0.5,0,0.5,0.8,1,used the one that gleam used the most- koala nefri,English,2016/11/21 2:42:51 pm GMT
DYAD,WordOrderDyads,DYWO051,0.7,0.6,0.8,0.8,0.6,0.9,"Mostly Noun, Adjective (number) then Adjective (colour). Sometimes though Adjective (colour) then Noun then Adjective (number) ","English, French",2016/11/21 2:43:20 pm GMT
DYAD,WordOrderDyads,DYWO022,0.7,0.5,0.8,1,1,0.1,I just found it easier if I always stuck to the pattern of object-nefri-kogla.,English,2016/11/21 4:57:39 pm GMT
DYAD,WordOrderDyads,DYWO021,0.7,0.8,0.8,0.6,0.6,0.9,"first the name of the object(jelly or mokte), then the number (nefri), then if coloured or not (kogla)",English,2016/11/21 4:58:23 pm GMT
DYAD,WordOrderDyads,DYWO072,0.7,0.4,0.3,0.4,0.7,0.1,Whichever words I remembered first,English,2016/11/24 2:42:42 pm GMT
DYAD,WordOrderDyads,DYWO071,0.6,0.5,0.7,0.3,0.6,0.6,whichever word i remembered first or had been used recently,English (intermediate french also),2016/11/24 2:43:07 pm GMT
DYAD,WordOrderDyads,DYWO091,0.9,0.7,0.5,1,1,0.3,i would always put the object first and then normally would put the number and then colour however i think there were times i did it the other way around ,English,2016/11/25 11:40:09 am GMT
DYAD,WordOrderDyads,DYWO092,0.8,0.5,0.5,0.5,0.5,0.4,I wrote the first word I could remember,"English, Italian, Spanish",2016/11/25 1:03:24 pm GMT
DYAD,WordOrderDyads,DYWO062,0.5,0.6,0.5,0.3,0.5,0.7,randomly ,english dutch french ,2016/11/25 5:42:41 pm GMT
DYAD,WordOrderDyads,DYWO061,0.4,0.7,0.4,0.3,0.6,0.5,Whatever I thought would be understood,"English, French",2016/11/25 5:43:44 pm GMT
DYAD,WordOrderDyads,DYWO081,0.5,0.5,0.6,0.7,0.7,0.2,Randomly,English,2016/11/29 1:48:12 pm GMT
DYAD,WordOrderDyads,DYWO082,0.4,0.7,0.2,0,1,0,"Quantifier, object, description",English,2016/11/29 1:49:24 pm GMT
DYAD,WordOrderDyads,DYWO121,0.5,0.7,0.2,1,1,1,It was easier starting with the object and nefri kogla sounds more familiar,English,2016/12/02 12:50:06 pm GMT
DYAD,WordOrderDyads,DYWO122,0.5,0.4,0.5,0.7,0.8,0.5,I always started with the object itself and then wrote the descriptions as `i remembered them.,English,2016/12/02 12:51:00 pm GMT
DYAD,WordOrderDyads,DYWO111,0.5,0.5,0.5,1,1,1,"Object, blue or not blue, one or two","German, English",2016/12/02 1:46:12 pm GMT
DYAD,WordOrderDyads,DYWO112,0.6,0.6,0.6,0.5,0.3,0.3,"It was more to do with variation. I believed that the word order didn't matter, so I wanted to try out different constructions. Also, there is something boring about repeating the word order of English, so that may have influenced my decisions. ",English,2016/12/02 1:47:57 pm GMT
DYAD,WordOrderDyads,DYWO101,0.5,0.5,0.5,0.5,0.5,0.5,Random,English,2016/12/06 3:39:21 pm GMT
DYAD,WordOrderDyads,DYWO102,0.4,0.5,0.6,0.9,0.8,0.8,"Found it easier to recall noun, then plural, then adjective","English, German",2016/12/06 3:40:57 pm GMT
