Condition,SystemID,ParticipantID,Trial#,Description,Meaning
dyads,NLD03,NLD032,65,gr sq att bub,squares bounce circle
dyads,NLD03,NLD031,28,group of sq join single bub,squares slide circle PFV
dyads,NLD03,NLD031,18,group of squares slides back and forth towards single bubble on right,squares slide circle
dyads,NLD03,NLD032,51,gr sq jo gr bub,squares bounce circles PFV
dyads,NLD03,NLD032,27,gr sq attack gr bub,squares bounce circles
dyads,NLD03,NLD032,21,gr sq joins gr bub,squares slide circles PFV
dyads,NLD03,NLD031,26,group of sq attack group of bub on left,squares slide circles
dyads,NLD03,NLD032,11,single aka sin square aka sq joins sin sq,square bounce square PFV
dyads,NLD03,NLD032,45,sq att sq,square bounce square
dyads,NLD03,NLD032,17,sin sq joins sin sq,square slide square PFV
dyads,NLD03,NLD032,25,sin sq attacks sin sq,square slide square
dyads,NLD03,NLD032,63,sq jo gr sq,square bounce squares PFV
dyads,NLD03,NLD032,29,sin sq attacks gr sq,square bounce squares
dyads,NLD03,NLD031,14,single square joins group of squares on right,square slide squares PFV
dyads,NLD03,NLD032,33,sq attacks gr sq,square slide squares
dyads,NLD03,NLD032,57,gr sq jo sq,squares bounce square PFV
dyads,NLD03,NLD032,3,cloud of pink squares attacks one pink square,squares bounce square
dyads,NLD03,NLD031,62,group of sq join sq,squares slide square PFV
dyads,NLD03,NLD032,41,gr sq att sq,squares slide square
dyads,NLD03,NLD031,76,grp sq bounce join grp sq,squares bounce squares PFV
dyads,NLD03,NLD031,12,group of squares bounces back and forth towards a cluster of squares on the left,squares bounce squares
dyads,NLD03,NLD032,13,group aka gr sq joins gr sq,squares slide squares PFV
dyads,NLD03,NLD031,20,group of squares attacks group of squares,squares slide squares
dyads,NLD03,NLD031,36,bub bounces from right to left then stops,circle bounce PFV
dyads,NLD03,NLD032,49,bub bounces,circle bounce
dyads,NLD03,NLD031,48,bub slide from left to right stops,circle slide PFV
dyads,NLD03,NLD031,50,bub slides back and forth,circle slide
dyads,NLD03,NLD032,55,gr bub r l stop,circles bounce PFV
dyads,NLD03,NLD032,9,cloud of circles bouncing,circles bounce
dyads,NLD03,NLD031,0,pink bubbles floating across the screen from left to right,circles slide PFV
dyads,NLD03,NLD031,54,group of sq slide back and forth,circles slide
dyads,NLD03,NLD031,64,sq bounce left right stop,square bounce PFV
dyads,NLD03,NLD032,1,one pink square hopping,square bounce
dyads,NLD03,NLD032,37,sq slides l r stops,square slide PFV
dyads,NLD03,NLD032,39,sq sl back forth,square slide
dyads,NLD03,NLD031,6,group of pink squares bounces together from left to right,squares bounce PFV
dyads,NLD03,NLD031,22,group of squares bounces back and forth,squares bounce
dyads,NLD03,NLD032,71,gr sq l r stop,squares slide PFV
dyads,NLD03,NLD032,7,cloud of squares sliding horizontally,squares slide
dyads,NLD04,NLD041,14,a circle bounces from left to right and joins another circle and remains still,circle bounce circle PFV
dyads,NLD04,NLD041,20,a single circle bounces back and forth from another circle which is on the left,circle bounce circle
dyads,NLD04,NLD042,25,a single circle moves from left to right in a straight line hits another circle and stops moving,circle slide circle PFV
dyads,NLD04,NLD041,24,a single circles travels backwards and forwards from a stationary circle on the right,circle slide circle
dyads,NLD04,NLD042,73,a circle bounces from right to left and joins a stationary group of circles on the left,circle bounce circles PFV
dyads,NLD04,NLD041,16,a single circle bounces from right to left and hits a group of circles and repeats,circle bounce circles
dyads,NLD04,NLD041,36,a single circles moves from right to left and joins a group of circles and stops moving,circle slide circles PFV
dyads,NLD04,NLD041,52,a single circle moves back and forth from a group of circles on the left,circle slide circles
dyads,NLD04,NLD041,48,a group of circles bounces from right to left and joins a stationary single circle,circles bounce circle PFV
dyads,NLD04,NLD041,66,a group of circles bounces back and forth from a stationary single circle on the left,circles bounce circle
dyads,NLD04,NLD042,59,a group of circles moves from right to left and join another group of circles on the left,circles slide circle PFV
dyads,NLD04,NLD041,28,a group of circles moves back and forth from a single stationary circle on the right,circles slide circle
dyads,NLD04,NLD041,26,a group of circles bounces from right to left and hits another group of circles and stops moving,circles bounce circles PFV
dyads,NLD04,NLD041,62,a group of circles bounces back and forth from a stationary group of circles on the right,circles bounce circles
dyads,NLD04,NLD042,41,a group of circles moves from left to right and joins a stationary group of circles,circles slide circles PFV
dyads,NLD04,NLD042,49,a group of circles moves from left to right hits another group of circles on the left and repeats,circles slide circles
dyads,NLD04,NLD041,40,a circle bounces left to right and joins a stationary single square and stops moving,circle bounce square PFV
dyads,NLD04,NLD042,3,a pink circle bounces from right to left and hits the square and repeats,circle bounce square
dyads,NLD04,NLD042,57,a circle moves from left to right and hits a square on the right and becomes stationary,circle slide square PFV
dyads,NLD04,NLD042,63,a circle moves in a straight line from right to left as it hits the square on the left,circle slide square
dyads,NLD04,NLD042,37,a circle bounces from right to left and joins a stationary block of squares,circle bounce squares PFV
dyads,NLD04,NLD041,0,a pink ball bounces back and forth towards pink blocks,circle bounce squares
dyads,NLD04,NLD041,74,a circle moves from left to right and joins a group of squares,circle slide squares PFV
dyads,NLD04,NLD042,15,a circle moves from left to right in a straight line and hits a block of squares,circle slide squares
dyads,NLD04,NLD041,42,a group of circles bounces left to right and joins a single stationary square,circles bounce square PFV
dyads,NLD04,NLD042,9,a group of circles bounce from left to right to hit a square,circles bounce square
dyads,NLD04,NLD041,76,a group of circles move from right to left and join a stationary square,circles slide square PFV
dyads,NLD04,NLD042,75,a group of squares move from right to left and hit another square on the left,circles slide square
dyads,NLD04,NLD041,4,a group of pink circles bounces left to right towards a group of squares,circles bounce squares PFV
dyads,NLD04,NLD042,7,a group of pink circles bounces from left to right to a big group of squares and repeats,circles bounce squares
dyads,NLD04,NLD041,34,a group of circles move left to right and hit a group of squares and stop moving,circles slide squares PFV
dyads,NLD04,NLD041,8,a group of pink circles moves towards and away from a group of squares on the left,circles slide squares
dyads,NLD04,NLD042,61,a single square bounces from right to left and joins the stationary circle,square bounce circle PFV
dyads,NLD04,NLD041,10,a square bounces from left to right and hits a circle,square bounce circle
dyads,NLD04,NLD042,27,a single square moves from left to right hits a circle and stops moving,square slide circle PFV
dyads,NLD04,NLD042,79,a square moves from right to left as it hits a circle on the left,square slide circle
dyads,NLD04,NLD041,60,a single square bounces from left to right and joins a group of circles and remains still,square bounce circles PFV
dyads,NLD04,NLD042,19,a single square bounces from right to left and hits a group of circles and repeats,square bounce circles
dyads,NLD04,NLD041,46,a single square moves from left to right and joins a group of stationary circles,square slide circles PFV
dyads,NLD04,NLD041,32,a single square moves towards and away from a group of circles on the left,square slide circles
dyads,NLD04,NLD041,56,a group of squares bounces from left to right and joins a stationary single circle,squares bounce circle PFV
dyads,NLD04,NLD042,67,a group of squares bounces back and forth from a single stationary circle on the left,squares bounce circle
dyads,NLD04,NLD041,54,a group of squares move from right to left and join a stationary single circle,squares slide circle PFV
dyads,NLD04,NLD041,6,a group of squares flies back and forth towards a circle on the right,squares slide circle
dyads,NLD04,NLD042,43,a group of squares bounces from left to right and joins a stationary group of circles,squares bounce circles PFV
dyads,NLD04,NLD042,51,a group of squares bounces from left to right hits a group of circles on the right and repeats,squares bounce circles
dyads,NLD04,NLD042,55,a group of squares moves from right to left and joins a group of circles on the left and remains stationary,squares slide circles PFV
dyads,NLD04,NLD041,38,a group of squares travels back and forth from a group of circles on the left,squares slide circles
dyads,NLD04,NLD042,69,a square bounces from right to left and joins a stationary square on the left,square bounce square PFV
dyads,NLD04,NLD042,13,a single square bounces from right to left hits another single square and repeats,square bounce square
dyads,NLD04,NLD042,31,a square moves from left to right in a straight line hits another square and stops moving,square slide square PFV
dyads,NLD04,NLD042,47,a single square moves from left to right in a straight line and hits another square and repeats,square slide square
dyads,NLD04,NLD042,11,a square bounces from left to right and joins a big group of squares and remains stationary,square bounce squares PFV
dyads,NLD04,NLD042,5,the square bounces from right to left to a big cluster of squares and repeats,square bounce squares
dyads,NLD04,NLD041,64,a single square moves from right to left and joins a group of squares,square slide squares PFV
dyads,NLD04,NLD042,45,a single square moves from right to left and hits another group of squares and repeats,square slide squares
dyads,NLD04,NLD042,23,a group of squares bounces from left to right and hits a single square and remains stationary,squares bounce square PFV
dyads,NLD04,NLD042,17,a group of squares bounce from left to right and hits a single square and repeats,squares bounce square
dyads,NLD04,NLD041,50,a group of squares moves from left to right and joins a stationary single square,squares slide square PFV
dyads,NLD04,NLD042,29,a group of squares move from left to right in a straight line and hit a single square and repeats,squares slide square
dyads,NLD04,NLD041,2,a group of pink squares bounce from right to left towards another group,squares bounce squares PFV
dyads,NLD04,NLD041,68,a group of squares bounces back and forth from a stationary group of squares on the left,squares bounce squares
dyads,NLD04,NLD042,71,a group of squares moves from right to left and merges with another group of squares on the right,squares slide squares PFV
dyads,NLD04,NLD041,58,a group of squares moves back and forth from another group of squares on the left,squares slide squares
dyads,NLD04,NLD041,78,a circle bounces from right to left and stops moving,circle bounce PFV
dyads,NLD04,NLD042,21,a single circle simply bounces back and forth,circle bounce
dyads,NLD04,NLD041,70,a single circle moves from right to left in a straight line and stops moving,circle slide PFV
dyads,NLD04,NLD041,44,a single circle moves in a straight line back and forth repeatedly,circle slide
dyads,NLD04,NLD042,53,a group of circles moves from right to left and then becomes stationary,circles bounce PFV
dyads,NLD04,NLD042,39,a group of circles just bounce back and forth,circles bounce
dyads,NLD04,NLD041,72,a group of circles moves from right to left and then stops moving,circles slide PFV
dyads,NLD04,NLD041,30,a group of circles move left to right repeatedly,circles slide
dyads,NLD04,NLD041,22,a single square bounces left to right once and stops moving,square bounce PFV
dyads,NLD04,NLD042,65,a single square bounces back and forth,square bounce
dyads,NLD04,NLD042,1,a pink square moves from right to left and stops,square slide PFV
dyads,NLD04,NLD042,35,a single square just moves back and forth,square slide
dyads,NLD04,NLD041,12,a group of squares bounce from left to right and remain still,squares bounce PFV
dyads,NLD04,NLD042,18,a group of squares bounces back and forth left to right repeatedly,squares bounce
dyads,NLD04,NLD042,77,a group of squares move from left to right and stop,squares slide PFV
dyads,NLD04,NLD042,33,a group of squares just move back and forth in a straight line,squares slide
dyads,NLD05,NLD051,26,bouncing circle moves left to static circle then stops,circle bounce circle PFV
dyads,NLD05,NLD051,10,static circle on the left bouncing circle which moves on the right,circle bounce circle
dyads,NLD05,NLD052,27,circle moving right to left toward static circle on the left then stops,circle slide circle PFV
dyads,NLD05,NLD051,66,circle slides right to static circle then back,circle slide circle
dyads,NLD05,NLD052,65,bouncing circle left to right toward circles then stops,circle bounce circles PFV
dyads,NLD05,NLD051,8,one bouncing circle moves towards static circles on the right,circle bounce circles
dyads,NLD05,NLD051,0,pink circle travelling left towards other pink circles,circle slide circles PFV
dyads,NLD05,NLD051,28,circle moves towards static circles on the right then moves back,circle slide circles
dyads,NLD05,NLD051,42,circles bounce to static circle on the left then stop,circles bounce circle PFV
dyads,NLD05,NLD051,34,circles bouncing towards and away from static circle on the left,circles bounce circle
dyads,NLD05,NLD052,75,circles left to right toward static circle then stop,circles slide circle PFV
dyads,NLD05,NLD051,74,circles slide to static circle on the left and back,circles slide circle
dyads,NLD05,NLD051,48,circles bounce right to static cricles then stop,circles bounce circles PFV
dyads,NLD05,NLD051,60,bouncing circles move right to static circles and back,circles bounce circles
dyads,NLD05,NLD052,7,nine circles moving toward nine static circles from the right then stopping,circles slide circles PFV
dyads,NLD05,NLD052,23,nine circles going from right to left toward nine static circles,circles slide circles
dyads,NLD05,NLD051,22,bouncing circle moves left to static square then stops,circle bounce square PFV
dyads,NLD05,NLD052,11,bouncing circle moving toward a static square on the left and back again,circle bounce square
dyads,NLD05,NLD052,71,circle left to right toward square then stops,circle slide square PFV
dyads,NLD05,NLD052,19,one ball moving from right to left toward one static square,circle slide square
dyads,NLD05,NLD052,21,bouncing circle going from left to right toward nine squares then stops,circle bounce squares PFV
dyads,NLD05,NLD051,18,one bouncing circle moving towards and away from static squares which are on the right,circle bounce squares
dyads,NLD05,NLD051,50,circle moves left towards static squares then stops,circle slide squares PFV
dyads,NLD05,NLD052,15,one circle moving from right to left toward nine squares and back again,circle slide squares
dyads,NLD05,NLD051,30,bouncing circles move towards static square on the left and then stop,circles bounce square PFV
dyads,NLD05,NLD052,67,bouncing circles left and right toward square and back,circles bounce square
dyads,NLD05,NLD051,64,circles slide right to square then stop,circles slide square PFV
dyads,NLD05,NLD052,63,circles slide right to left toward square and back,circles slide square
